time,wx,wy,wz
11.282,-1.21,0.86,0.09
11.284,-1.22,0.89,0.1
11.286,-1.23,0.91,0.1
11.289,-1.24,0.94,0.1
11.291,-1.24,0.95,0.1
11.293,-1.24,0.97,0.11
11.295,-1.25,0.98,0.11
11.298,-1.24,0.99,0.11
11.3,-1.24,0.99,0.11
11.302,-1.24,1,0.11
11.305,-1.24,1,0.11
11.307,-1.23,0.99,0.11
11.309,-1.23,0.98,0.1
11.312,-1.23,0.96,0.1
11.314,-1.22,0.95,0.09
11.317,-1.22,0.93,0.09
11.319,-1.21,0.9,0.09
11.321,-1.21,0.87,0.09
11.323,-1.2,0.84,0.09
11.326,-1.2,0.8,0.09
11.329,-1.2,0.75,0.08
11.331,-1.19,0.7,0.07
11.333,-1.18,0.65,0.06
11.335,-1.16,0.61,0.05
11.338,-1.15,0.56,0.03
11.34,-1.12,0.52,0.01
11.342,-1.09,0.48,-0.02
11.344,-1.06,0.45,-0.05
11.347,-1.02,0.42,-0.08
11.349,-0.98,0.4,-0.11
11.351,-0.93,0.38,-0.14
11.354,-0.88,0.38,-0.17
11.356,-0.83,0.38,-0.19
11.359,-0.79,0.38,-0.21
11.361,-0.74,0.41,-0.23
11.363,-0.7,0.43,-0.24
11.365,-0.66,0.48,-0.25
11.368,-0.63,0.53,-0.25
11.371,-0.6,0.58,-0.25
11.374,-0.58,0.64,-0.23
11.375,-0.56,0.71,-0.21
11.377,-0.56,0.78,-0.18
11.38,-0.56,0.83,-0.16
11.382,-0.56,0.88,-0.13
11.384,-0.57,0.92,-0.1
11.387,-0.58,0.94,-0.08
11.39,-0.59,0.94,-0.05
11.391,-0.6,0.93,-0.02
11.393,-0.61,0.91,0
11.396,-0.61,0.88,0.03
11.398,-0.6,0.83,0.06
11.404,-0.59,0.77,0.08
11.405,-0.57,0.72,0.11
11.41,-0.55,0.65,0.13
11.41,-0.52,0.58,0.15
11.411,-0.49,0.51,0.16
11.412,-0.47,0.45,0.18
11.414,-0.44,0.41,0.19
11.429,-0.42,0.37,0.19
11.43,-0.4,0.35,0.19
11.43,-0.38,0.34,0.19
11.43,-0.36,0.34,0.18
11.43,-0.34,0.36,0.16
11.431,-0.32,0.38,0.15
11.432,-0.29,0.41,0.12
11.434,-0.26,0.45,0.1
11.435,-0.23,0.5,0.07
11.438,-0.2,0.56,0.04
11.44,-0.17,0.62,0.01
11.442,-0.13,0.68,-0.02
11.444,-0.09,0.75,-0.06
11.447,-0.04,0.81,-0.11
11.449,0.01,0.87,-0.16
11.452,0.08,0.91,-0.21
11.454,0.14,0.95,-0.27
11.457,0.22,0.97,-0.32
11.459,0.3,0.97,-0.37
11.461,0.39,0.96,-0.42
11.463,0.48,0.94,-0.47
11.465,0.57,0.9,-0.51
11.468,0.67,0.85,-0.54
11.472,0.77,0.79,-0.56
11.472,0.87,0.73,-0.56
11.475,0.97,0.67,-0.56
11.477,1.07,0.6,-0.54
11.48,1.16,0.53,-0.52
11.482,1.26,0.45,-0.49
11.485,1.35,0.38,-0.46
11.487,1.44,0.3,-0.42
11.493,1.54,0.21,-0.38
11.493,1.63,0.12,-0.36
11.493,1.72,0.03,-0.34
11.496,1.81,-0.06,-0.33
11.498,1.9,-0.15,-0.32
11.501,1.99,-0.25,-0.31
11.503,2.08,-0.32,-0.29
11.505,2.16,-0.39,-0.27
11.507,2.23,-0.44,-0.24
11.51,2.29,-0.48,-0.2
11.512,2.35,-0.5,-0.16
11.515,2.41,-0.51,-0.12
11.517,2.47,-0.5,-0.08
11.519,2.53,-0.48,-0.05
11.523,2.57,-0.44,-0.03
11.524,2.62,-0.39,-0.02
11.527,2.66,-0.33,-0.02
11.528,2.7,-0.25,-0.02
11.531,2.74,-0.14,-0.04
11.533,2.77,-0.04,-0.05
11.538,2.8,0.1,-0.08
11.539,2.83,0.23,-0.1
11.54,2.85,0.35,-0.13
11.542,2.86,0.48,-0.15
11.545,2.86,0.59,-0.18
11.547,2.86,0.69,-0.2
11.55,2.84,0.78,-0.22
11.562,2.81,0.84,-0.23
11.563,2.78,0.88,-0.24
11.563,2.73,0.9,-0.25
11.563,2.68,0.9,-0.25
11.564,2.63,0.88,-0.25
11.564,2.57,0.83,-0.25
11.566,2.5,0.77,-0.26
11.568,2.43,0.69,-0.25
11.573,2.36,0.58,-0.25
11.574,2.28,0.46,-0.24
11.575,2.21,0.31,-0.23
11.577,2.14,0.16,-0.23
11.579,2.08,-0.01,-0.22
11.582,2.03,-0.19,-0.21
11.585,1.99,-0.38,-0.21
11.586,1.97,-0.57,-0.22
11.589,1.96,-0.76,-0.22
11.591,1.96,-0.95,-0.24
11.593,1.98,-1.12,-0.26
11.596,2,-1.28,-0.27
11.598,2.04,-1.44,-0.29
11.6,2.09,-1.56,-0.31
11.603,2.14,-1.66,-0.32
11.606,2.2,-1.73,-0.32
11.607,2.25,-1.78,-0.33
11.61,2.31,-1.79,-0.33
11.612,2.37,-1.79,-0.33
11.614,2.42,-1.75,-0.32
11.617,2.46,-1.7,-0.31
11.619,2.49,-1.63,-0.3
11.621,2.52,-1.55,-0.3
11.624,2.55,-1.47,-0.29
11.626,2.58,-1.38,-0.28
11.629,2.6,-1.29,-0.28
11.631,2.62,-1.2,-0.27
11.633,2.64,-1.12,-0.26
11.635,2.65,-1.04,-0.25
11.638,2.67,-0.98,-0.24
11.64,2.69,-0.92,-0.21
11.642,2.7,-0.86,-0.18
11.645,2.71,-0.81,-0.15
11.648,2.72,-0.76,-0.13
11.65,2.73,-0.72,-0.1
11.652,2.75,-0.7,-0.07
11.654,2.75,-0.67,-0.06
11.657,2.74,-0.66,-0.05
11.659,2.74,-0.66,-0.03
11.661,2.73,-0.67,-0.02
11.663,2.72,-0.69,-0.01
11.666,2.71,-0.72,0
11.674,2.7,-0.75,0.01
11.674,2.68,-0.79,0.02
11.675,2.66,-0.83,0.02
11.675,2.63,-0.87,0.03
11.678,2.6,-0.9,0.03
11.68,2.58,-0.93,0.03
11.682,2.54,-0.96,0.03
11.684,2.51,-0.98,0.04
11.699,2.47,-1.01,0.05
11.7,2.43,-1.04,0.05
11.7,2.4,-1.05,0.04
11.7,2.37,-1.05,0.03
11.7,2.35,-1.02,0.01
11.701,2.32,-0.99,-0.01
11.703,2.29,-0.98,-0.02
11.703,2.24,-1.01,-0.03
11.705,2.19,-1.08,-0.03
11.708,2.13,-1.15,-0.03
11.71,2.07,-1.22,-0.03
11.712,2.01,-1.29,-0.03
11.714,1.96,-1.36,-0.04
11.717,1.91,-1.4,-0.04
11.719,1.86,-1.45,-0.04
11.721,1.82,-1.48,-0.04
11.724,1.78,-1.5,-0.05
11.726,1.75,-1.53,-0.05
11.728,1.71,-1.57,-0.05
11.732,1.68,-1.6,-0.05
11.733,1.65,-1.63,-0.05
11.736,1.63,-1.66,-0.04
11.738,1.6,-1.7,-0.04
11.74,1.58,-1.74,-0.04
11.742,1.55,-1.77,-0.04
11.745,1.53,-1.81,-0.04
11.747,1.5,-1.83,-0.05
11.749,1.48,-1.85,-0.05
11.752,1.46,-1.88,-0.05
11.754,1.44,-1.87,-0.06
11.756,1.42,-1.86,-0.06
11.759,1.4,-1.85,-0.05
11.761,1.38,-1.84,-0.05
11.764,1.37,-1.81,-0.05
11.766,1.35,-1.77,-0.05
11.769,1.33,-1.74,-0.05
11.772,1.3,-1.71,-0.04
11.774,1.27,-1.68,-0.03
11.776,1.24,-1.66,-0.03
11.777,1.2,-1.62,-0.01
11.78,1.17,-1.58,0
11.782,1.13,-1.53,0.02
11.784,1.08,-1.48,0.03
11.787,1.04,-1.42,0.04
11.79,0.99,-1.36,0.05
11.792,0.94,-1.29,0.06
11.794,0.9,-1.23,0.07
11.796,0.85,-1.17,0.08
11.799,0.8,-1.1,0.1
11.801,0.75,-1.05,0.11
11.807,0.7,-0.99,0.13
11.808,0.65,-0.93,0.15
11.808,0.6,-0.87,0.18
11.816,0.55,-0.82,0.21
11.817,0.49,-0.76,0.24
11.817,0.44,-0.72,0.27
11.817,0.39,-0.68,0.31
11.835,0.33,-0.65,0.34
11.836,0.27,-0.63,0.37
11.836,0.21,-0.61,0.4
11.836,0.15,-0.62,0.43
11.836,0.08,-0.63,0.47
11.836,0.02,-0.65,0.49
11.836,-0.05,-0.68,0.52
11.837,-0.11,-0.7,0.55
11.838,-0.17,-0.74,0.57
11.841,-0.24,-0.79,0.59
11.843,-0.3,-0.83,0.61
11.845,-0.36,-0.87,0.62
11.847,-0.42,-0.91,0.64
11.85,-0.48,-0.96,0.65
11.853,-0.53,-1.01,0.65
11.855,-0.58,-1.04,0.66
11.858,-0.64,-1.07,0.66
11.859,-0.7,-1.1,0.65
