time,wx,wy,wz
1.039,1.21,1.27,1.32
1.041,1.27,1.16,1.27
1.044,1.33,1.05,1.20
1.046,1.41,0.92,1.12
1.048,1.49,0.78,1.04
1.051,1.56,0.65,0.96
1.053,1.62,0.55,0.87
1.055,1.66,0.47,0.80
1.057,1.68,0.40,0.72
1.060,1.68,0.37,0.64
1.062,1.66,0.35,0.56
1.064,1.62,0.34,0.49
1.067,1.56,0.34,0.42
1.069,1.49,0.34,0.35
1.071,1.40,0.34,0.28
1.075,1.30,0.34,0.20
1.076,1.20,0.33,0.12
1.079,1.10,0.32,0.04
1.081,0.99,0.30,-0.04
1.085,0.90,0.30,-0.12
1.086,0.82,0.30,-0.19
1.088,0.76,0.31,-0.25
1.090,0.71,0.33,-0.31
1.093,0.68,0.35,-0.37
1.095,0.67,0.37,-0.42
1.097,0.67,0.37,-0.47
1.099,0.68,0.36,-0.51
1.102,0.69,0.35,-0.55
1.104,0.70,0.33,-0.57
1.106,0.71,0.29,-0.60
1.109,0.73,0.27,-0.62
1.111,0.75,0.27,-0.65
1.113,0.77,0.27,-0.70
1.116,0.78,0.26,-0.74
1.118,0.79,0.22,-0.76
1.120,0.80,0.19,-0.78
1.123,0.84,0.18,-0.82
1.125,0.90,0.18,-0.86
1.127,0.97,0.16,-0.91
1.130,1.02,0.14,-0.97
1.132,1.07,0.13,-1.02
1.135,1.12,0.13,-1.07
1.137,1.17,0.15,-1.09
1.139,1.17,0.20,-1.11
1.141,1.15,0.29,-1.12
1.144,1.10,0.39,-1.13
1.146,1.03,0.48,-1.15
1.148,0.93,0.60,-1.19
1.151,0.81,0.71,-1.24
1.153,0.68,0.81,-1.30
1.155,0.56,0.89,-1.36
1.158,0.45,0.96,-1.43
1.160,0.37,1.00,-1.50
1.162,0.29,1.04,-1.58
1.165,0.23,1.08,-1.66
1.168,0.20,1.09,-1.74
1.169,0.18,1.13,-1.82
1.172,0.18,1.14,-1.89
1.175,0.17,1.15,-1.95
1.176,0.15,1.18,-2.01
1.178,0.11,1.19,-2.08
1.181,0.07,1.17,-2.16
1.183,0.03,1.13,-2.25
1.185,-0.00,1.03,-2.33
1.188,-0.03,0.94,-2.43
1.190,-0.04,0.82,-2.53
1.192,-0.04,0.66,-2.63
1.195,-0.02,0.50,-2.71
1.197,0.00,0.34,-2.80
1.199,0.04,0.20,-2.87
1.202,0.07,0.09,-2.94
1.204,0.10,0.00,-2.99
1.206,0.13,-0.03,-3.04
1.209,0.15,0.00,-3.06
1.211,0.18,0.09,-3.06
1.215,0.22,0.25,-3.04
1.218,0.26,0.46,-3.01
1.219,0.31,0.66,-2.98
1.223,0.36,0.88,-2.95
1.223,0.44,1.13,-2.90
1.225,0.52,1.39,-2.86
1.227,0.60,1.62,-2.82
1.230,0.68,1.82,-2.78
1.232,0.75,1.97,-2.74
1.235,0.83,2.07,-2.70
1.237,0.91,2.14,-2.68
1.239,0.98,2.14,-2.66
1.241,1.03,2.10,-2.65
1.244,1.08,2.02,-2.66
1.246,1.12,1.87,-2.67
1.248,1.14,1.69,-2.67
1.251,1.15,1.46,-2.67
1.253,1.16,1.24,-2.68
1.255,1.16,0.99,-2.68
1.258,1.15,0.74,-2.70
1.260,1.15,0.49,-2.70
1.262,1.13,0.23,-2.68
1.265,1.11,-0.00,-2.66
1.267,1.08,-0.27,-2.64
1.270,1.05,-0.53,-2.60
1.272,1.02,-0.77,-2.56
1.275,0.99,-0.98,-2.51
1.276,0.96,-1.18,-2.44
1.278,0.94,-1.32,-2.37
1.281,0.91,-1.45,-2.28
1.283,0.88,-1.52,-2.20
1.286,0.85,-1.59,-2.12
1.288,0.83,-1.68,-2.06
1.290,0.80,-1.73,-2.04
1.293,0.77,-1.81,-2.03
1.295,0.73,-1.95,-2.04
1.297,0.67,-2.08,-2.05
1.300,0.63,-2.18,-2.10
1.303,0.60,-2.23,-2.16
1.304,0.57,-2.27,-2.24
1.306,0.53,-2.31,-2.30
1.309,0.49,-2.33,-2.37
1.311,0.45,-2.30,-2.44
1.313,0.42,-2.27,-2.50
1.316,0.39,-2.21,-2.56
1.319,0.38,-2.12,-2.60
1.321,0.39,-2.02,-2.64
1.323,0.42,-1.93,-2.66
1.325,0.45,-1.85,-2.69
1.327,0.51,-1.77,-2.71
1.330,0.57,-1.73,-2.73
1.334,0.65,-1.72,-2.75
1.336,0.76,-1.72,-2.76
1.338,0.86,-1.76,-2.77
1.341,0.96,-1.81,-2.78
1.342,1.07,-1.84,-2.78
1.344,1.16,-1.93,-2.79
1.346,1.23,-2.02,-2.79
1.348,1.29,-2.07,-2.79
1.351,1.32,-2.05,-2.77
1.354,1.31,-1.95,-2.74
1.355,1.30,-1.82,-2.70
1.358,1.25,-1.75,-2.69
1.360,1.21,-1.62,-2.67
1.362,1.15,-1.41,-2.60
1.365,1.06,-1.15,-2.49
1.367,0.95,-0.82,-2.34
1.370,0.82,-0.47,-2.14
1.372,0.67,-0.12,-1.92
1.375,0.51,0.24,-1.68
1.376,0.34,0.56,-1.42
1.379,0.19,0.85,-1.16
1.381,0.05,1.10,-0.90
1.383,-0.07,1.30,-0.65
1.386,-0.17,1.44,-0.42
1.388,-0.24,1.51,-0.24
1.390,-0.30,1.54,-0.11
1.393,-0.34,1.55,-0.02
1.395,-0.37,1.51,0.03
1.397,-0.40,1.43,0.05
1.399,-0.40,1.33,0.05
1.402,-0.40,1.17,0.05
1.404,-0.40,0.98,0.06
1.406,-0.40,0.76,0.06
1.409,-0.40,0.54,0.06
1.411,-0.42,0.33,0.05
1.413,-0.44,0.12,0.04
1.416,-0.49,-0.06,0.03
1.418,-0.53,-0.24,0.01
1.421,-0.58,-0.40,-0.01
1.423,-0.65,-0.56,-0.03
1.425,-0.73,-0.71,-0.05
1.428,-0.81,-0.84,-0.07
1.430,-0.89,-0.97,-0.09
1.432,-0.97,-1.10,-0.11
1.435,-1.06,-1.21,-0.13
1.437,-1.14,-1.31,-0.13
1.439,-1.21,-1.34,-0.12
1.441,-1.25,-1.17,-0.09
1.444,-1.24,-0.94,-0.05
1.446,-1.23,-0.83,-0.01
1.449,-1.24,-0.83,-0.01
1.451,-1.28,-0.85,-0.03
1.454,-1.33,-0.85,-0.08
1.456,-1.38,-0.82,-0.15
1.461,-1.41,-0.78,-0.23
1.461,-1.45,-0.73,-0.32
1.462,-1.44,-0.65,-0.42
1.465,-1.43,-0.59,-0.51
1.467,-1.38,-0.49,-0.60
1.470,-1.32,-0.39,-0.69
1.472,-1.25,-0.25,-0.77
1.475,-1.16,-0.09,-0.85
1.476,-1.07,0.07,-0.91
1.479,-0.96,0.25,-0.98
1.481,-0.84,0.40,-1.04
1.483,-0.71,0.53,-1.05
1.486,-0.58,0.60,-1.01
1.488,-0.44,0.63,-0.95
1.490,-0.29,0.65,-0.85
1.493,-0.14,0.63,-0.74
1.495,0.00,0.58,-0.61
1.497,0.13,0.51,-0.46
1.500,0.23,0.46,-0.30
1.502,0.32,0.39,-0.17
1.505,0.37,0.34,-0.03
1.507,0.38,0.33,0.09
1.509,0.36,0.32,0.18
1.511,0.32,0.32,0.24
1.514,0.26,0.30,0.25
1.516,0.20,0.25,0.24
1.518,0.13,0.21,0.21
1.522,0.06,0.17,0.19
1.523,0.01,0.15,0.18
1.525,-0.02,0.17,0.17
1.528,-0.03,0.19,0.18
1.530,-0.00,0.23,0.19
1.532,0.03,0.26,0.20
1.535,0.10,0.30,0.21
1.537,0.18,0.36,0.21
1.539,0.26,0.37,0.22
1.541,0.37,0.38,0.21
1.544,0.44,0.38,0.21
1.546,0.52,0.39,0.20
1.548,0.59,0.37,0.18
1.551,0.64,0.38,0.16
1.553,0.68,0.38,0.15
1.556,0.71,0.41,0.14
1.558,0.74,0.53,0.15
1.560,0.74,0.63,0.17
1.562,0.72,0.70,0.20
1.565,0.70,0.75,0.23
1.567,0.67,0.75,0.26
1.570,0.59,0.75,0.27
1.572,0.51,0.75,0.28
1.575,0.42,0.73,0.28
1.576,0.35,0.72,0.27
1.579,0.28,0.71,0.27
1.581,0.21,0.68,0.25
1.583,0.14,0.69,0.24
1.587,0.09,0.66,0.23
1.589,0.05,0.64,0.22
1.590,0.02,0.63,0.21
1.593,-0.01,0.61,0.21
1.595,-0.03,0.59,0.20
1.597,-0.05,0.57,0.21
1.600,-0.06,0.56,0.22
1.602,-0.05,0.53,0.24
1.611,-0.02,0.49,0.24
1.612,0.01,0.44,0.22
1.612,0.07,0.40,0.17
1.612,0.13,0.33,0.10
1.614,0.21,0.29,0.01
1.616,0.29,0.23,-0.09
1.618,0.38,0.21,-0.19
1.621,0.46,0.18,-0.30
1.623,0.55,0.18,-0.42
1.625,0.64,0.18,-0.55
1.628,0.74,0.19,-0.67
1.630,0.80,0.23,-0.80
1.633,0.85,0.30,-0.93
1.635,0.89,0.37,-1.05
1.637,0.90,0.49,-1.14
1.639,0.87,0.61,-1.22
1.641,0.83,0.70,-1.27
1.644,0.78,0.78,-1.30
1.646,0.72,0.81,-1.32
1.649,0.65,0.83,-1.33
1.651,0.54,0.84,-1.35
1.653,0.41,0.83,-1.37
1.656,0.29,0.79,-1.41
1.658,0.16,0.71,-1.45
1.660,0.04,0.60,-1.49
1.662,-0.08,0.46,-1.53
1.665,-0.21,0.29,-1.56
1.667,-0.33,0.14,-1.58
1.669,-0.44,0.02,-1.59
1.672,-0.53,-0.11,-1.59
1.675,-0.61,-0.22,-1.57
1.676,-0.67,-0.33,-1.56
1.679,-0.73,-0.43,-1.54
1.681,-0.76,-0.47,-1.53
1.683,-0.80,-0.51,-1.53
1.686,-0.82,-0.55,-1.53
1.688,-0.82,-0.62,-1.53
1.690,-0.82,-0.68,-1.53
1.693,-0.82,-0.71,-1.53
1.695,-0.83,-0.75,-1.53
1.697,-0.82,-0.79,-1.53
1.700,-0.82,-0.83,-1.53
1.702,-0.81,-0.87,-1.52
1.704,-0.80,-0.91,-1.51
1.707,-0.78,-0.94,-1.49
1.709,-0.75,-0.94,-1.49
1.711,-0.76,-0.97,-1.48
1.714,-0.76,-0.98,-1.47
1.717,-0.76,-0.94,-1.47
1.719,-0.76,-0.91,-1.48
1.722,-0.78,-0.88,-1.48
1.723,-0.79,-0.86,-1.50
1.725,-0.81,-0.84,-1.52
1.728,-0.79,-0.83,-1.55
1.730,-0.80,-0.82,-1.57
1.733,-0.78,-0.76,-1.59
1.735,-0.75,-0.72,-1.60
1.737,-0.70,-0.67,-1.62
1.739,-0.67,-0.60,-1.62
1.742,-0.62,-0.50,-1.62
1.744,-0.57,-0.40,-1.63
1.746,-0.56,-0.27,-1.65
1.748,-0.54,-0.14,-1.66
1.751,-0.54,-0.01,-1.66
1.753,-0.55,0.13,-1.65
1.756,-0.56,0.27,-1.63
1.758,-0.59,0.36,-1.60
