time,wx,wy,wz
0.577,-0.25,-4.43,-1.78
0.580,-0.29,-4.28,-1.50
0.581,-0.32,-4.14,-1.17
0.584,-0.37,-4.00,-0.82
0.586,-0.42,-3.88,-0.47
0.588,-0.48,-3.81,-0.14
0.591,-0.54,-3.76,0.16
0.593,-0.59,-3.73,0.43
0.595,-0.62,-3.73,0.67
0.600,-0.64,-3.76,0.88
0.600,-0.64,-3.81,1.06
0.602,-0.62,-3.89,1.21
0.605,-0.59,-3.96,1.30
0.607,-0.56,-4.01,1.31
0.609,-0.52,-4.04,1.27
0.612,-0.48,-4.07,1.20
0.614,-0.43,-4.09,1.11
0.617,-0.38,-4.12,1.02
0.620,-0.33,-4.14,0.94
0.621,-0.27,-4.16,0.87
0.623,-0.22,-4.20,0.80
0.625,-0.18,-4.22,0.74
0.628,-0.14,-4.25,0.68
0.630,-0.10,-4.28,0.62
0.633,-0.08,-4.31,0.57
0.635,-0.06,-4.33,0.51
0.637,-0.05,-4.36,0.46
0.640,-0.06,-4.39,0.43
0.642,-0.08,-4.45,0.40
0.644,-0.10,-4.50,0.38
0.646,-0.13,-4.55,0.38
0.649,-0.18,-4.60,0.39
0.651,-0.21,-4.66,0.41
0.653,-0.24,-4.69,0.43
0.656,-0.28,-4.72,0.46
0.658,-0.30,-4.75,0.48
0.660,-0.32,-4.77,0.51
0.663,-0.33,-4.81,0.53
0.665,-0.33,-4.85,0.56
0.667,-0.32,-4.89,0.57
0.670,-0.29,-4.92,0.59
0.672,-0.24,-4.94,0.60
0.674,-0.17,-4.95,0.61
0.677,-0.09,-4.94,0.62
0.680,0.01,-4.91,0.63
0.681,0.11,-4.87,0.64
0.684,0.23,-4.84,0.66
0.686,0.34,-4.78,0.68
0.688,0.46,-4.73,0.70
0.691,0.57,-4.69,0.73
0.693,0.69,-4.64,0.77
0.695,0.81,-4.59,0.81
0.698,0.93,-4.55,0.86
0.700,1.03,-4.51,0.93
0.702,1.14,-4.47,1.00
0.705,1.23,-4.43,1.07
0.707,1.33,-4.38,1.16
0.709,1.40,-4.32,1.25
0.712,1.47,-4.26,1.34
0.714,1.54,-4.20,1.44
0.716,1.59,-4.13,1.54
0.719,1.63,-4.05,1.64
0.721,1.66,-3.95,1.73
0.723,1.69,-3.84,1.82
0.725,1.72,-3.72,1.91
0.728,1.73,-3.58,1.99
0.730,1.74,-3.45,2.07
0.733,1.74,-3.34,2.16
0.735,1.72,-3.25,2.25
0.737,1.67,-3.18,2.35
0.740,1.60,-3.11,2.44
0.742,1.52,-3.05,2.53
0.744,1.41,-2.97,2.61
0.746,1.29,-2.89,2.71
0.749,1.16,-2.80,2.81
0.752,1.01,-2.72,2.91
0.754,0.87,-2.63,3.02
0.756,0.72,-2.52,3.14
0.758,0.57,-2.40,3.26
0.761,0.43,-2.25,3.39
0.763,0.30,-2.07,3.52
0.765,0.17,-1.89,3.65
0.768,0.04,-1.68,3.78
0.770,-0.08,-1.47,3.92
0.772,-0.19,-1.25,4.06
0.774,-0.30,-1.04,4.20
0.777,-0.41,-0.85,4.33
0.779,-0.53,-0.67,4.45
0.782,-0.66,-0.49,4.56
0.784,-0.79,-0.34,4.66
0.786,-0.93,-0.23,4.74
0.788,-1.08,-0.15,4.79
0.791,-1.22,-0.13,4.84
0.793,-1.37,-0.13,4.88
0.795,-1.51,-0.10,4.88
0.798,-1.64,-0.06,4.86
0.801,-1.77,-0.05,4.84
0.802,-1.88,-0.06,4.81
0.805,-1.99,-0.10,4.78
0.807,-2.09,-0.15,4.74
0.809,-2.17,-0.22,4.69
0.812,-2.24,-0.32,4.64
0.814,-2.29,-0.43,4.57
0.817,-2.32,-0.57,4.50
0.819,-2.35,-0.74,4.43
0.821,-2.34,-0.87,4.36
0.823,-2.32,-0.98,4.29
0.825,-2.29,-1.08,4.22
0.828,-2.23,-1.19,4.17
0.830,-2.16,-1.32,4.14
0.833,-2.08,-1.48,4.13
0.835,-2.02,-1.60,4.13
0.837,-1.95,-1.68,4.14
0.840,-1.89,-1.75,4.16
0.842,-1.84,-1.79,4.19
0.844,-1.79,-1.83,4.20
0.846,-1.75,-1.85,4.23
0.849,-1.73,-1.81,4.27
0.851,-1.70,-1.76,4.32
0.853,-1.68,-1.69,4.38
0.856,-1.66,-1.60,4.43
0.858,-1.64,-1.46,4.47
0.861,-1.63,-1.28,4.50
0.863,-1.63,-1.09,4.53
0.865,-1.64,-0.89,4.56
0.868,-1.65,-0.70,4.59
0.870,-1.68,-0.47,4.63
0.872,-1.73,-0.21,4.66
0.874,-1.79,0.05,4.68
0.877,-1.85,0.28,4.69
0.880,-1.92,0.47,4.67
0.882,-2.00,0.64,4.64
0.884,-2.07,0.78,4.58
0.886,-2.16,0.93,4.52
0.888,-2.24,1.08,4.45
0.891,-2.33,1.22,4.37
0.893,-2.41,1.37,4.28
0.895,-2.50,1.52,4.18
0.898,-2.60,1.66,4.07
0.901,-2.69,1.78,3.95
0.902,-2.78,1.85,3.82
0.905,-2.87,1.90,3.69
0.907,-2.94,1.92,3.55
0.909,-3.02,1.94,3.40
0.912,-3.07,1.92,3.25
0.914,-3.11,1.86,3.09
0.916,-3.13,1.78,2.92
0.919,-3.13,1.68,2.74
0.921,-3.10,1.59,2.55
0.923,-3.05,1.47,2.35
0.926,-2.99,1.36,2.17
0.928,-2.91,1.24,2.00
0.930,-2.82,1.10,1.84
0.933,-2.71,0.97,1.71
0.935,-2.58,0.84,1.58
0.937,-2.43,0.74,1.48
0.940,-2.28,0.69,1.39
0.942,-2.12,0.69,1.33
0.944,-1.97,0.74,1.28
0.947,-1.81,0.84,1.23
0.949,-1.68,0.98,1.19
0.952,-1.56,1.12,1.17
0.953,-1.46,1.27,1.18
0.956,-1.38,1.43,1.19
0.958,-1.32,1.61,1.21
0.961,-1.27,1.78,1.23
0.963,-1.23,1.92,1.27
0.965,-1.20,2.04,1.32
0.968,-1.18,2.15,1.37
0.970,-1.17,2.25,1.43
0.972,-1.17,2.36,1.49
0.974,-1.18,2.47,1.53
0.977,-1.19,2.60,1.54
0.979,-1.21,2.73,1.53
0.982,-1.21,2.82,1.49
0.984,-1.20,2.88,1.42
0.986,-1.19,2.93,1.34
0.988,-1.19,2.98,1.26
0.991,-1.19,3.03,1.18
0.993,-1.19,3.08,1.10
0.995,-1.18,3.09,1.01
0.998,-1.18,3.06,0.95
1.001,-1.19,3.01,0.91
1.002,-1.21,2.94,0.87
1.005,-1.25,2.87,0.82
1.007,-1.28,2.81,0.75
1.009,-1.30,2.78,0.67
1.012,-1.32,2.75,0.60
1.016,-1.33,2.72,0.53
1.017,-1.35,2.71,0.47
1.019,-1.41,2.67,0.42
1.021,-1.51,2.61,0.37
1.023,-1.69,2.48,0.31
1.026,-1.87,2.39,0.25
1.028,-2.07,2.32,0.19
1.030,-2.27,2.32,0.14
1.033,-2.42,2.33,0.09
1.035,-2.53,2.29,0.05
1.037,-2.63,2.27,0.04
1.040,-2.69,2.27,0.03
1.042,-2.74,2.32,0.04
1.044,-2.78,2.37,0.06
1.047,-2.81,2.40,0.08
1.049,-2.79,2.41,0.11
1.052,-2.75,2.37,0.15
1.054,-2.69,2.32,0.19
1.056,-2.62,2.27,0.25
1.058,-2.56,2.24,0.31
1.061,-2.48,2.24,0.36
1.063,-2.40,2.25,0.40
1.065,-2.30,2.28,0.44
1.069,-2.19,2.30,0.48
1.070,-2.09,2.30,0.53
1.072,-2.01,2.27,0.57
1.074,-1.92,2.22,0.61
1.077,-1.82,2.19,0.65
1.079,-1.71,2.15,0.67
1.082,-1.60,2.09,0.68
1.085,-1.49,2.03,0.68
1.086,-1.39,1.96,0.66
1.088,-1.30,1.85,0.64
1.091,-1.20,1.73,0.61
1.093,-1.09,1.60,0.58
1.095,-0.98,1.47,0.55
1.098,-0.90,1.36,0.51
1.101,-0.84,1.25,0.45
1.103,-0.81,1.11,0.40
1.105,-0.79,0.97,0.34
1.107,-0.79,0.84,0.28
1.109,-0.80,0.72,0.23
1.112,-0.82,0.62,0.19
1.114,-0.85,0.54,0.16
1.116,-0.90,0.48,0.15
1.119,-0.96,0.46,0.14
1.121,-1.02,0.48,0.13
1.123,-1.08,0.53,0.12
1.126,-1.08,0.59,0.11
1.128,-1.05,0.63,0.10
1.130,-1.00,0.66,0.10
1.133,-0.95,0.67,0.09
1.135,-0.89,0.66,0.08
1.137,-0.81,0.66,0.05
1.141,-0.73,0.65,0.01
1.142,-0.62,0.66,-0.03
1.144,-0.53,0.68,-0.09
1.147,-0.44,0.71,-0.15
1.149,-0.34,0.70,-0.17
1.151,-0.25,0.68,-0.15
1.154,-0.18,0.65,-0.13
1.156,-0.12,0.69,-0.11
1.159,-0.09,0.72,-0.06
1.161,-0.07,0.75,-0.01
1.163,-0.07,0.78,0.04
1.166,-0.09,0.81,0.08
1.168,-0.15,0.86,0.11
1.170,-0.22,0.90,0.14
1.172,-0.27,0.95,0.14
1.175,-0.29,0.99,0.14
1.177,-0.27,1.03,0.12
1.179,-0.23,1.03,0.08
1.182,-0.15,1.02,0.04
1.184,-0.06,1.01,-0.01
1.187,0.05,0.94,-0.06
1.188,0.17,0.86,-0.09
1.191,0.30,0.76,-0.11
1.193,0.40,0.66,-0.11
1.195,0.49,0.57,-0.11
1.198,0.58,0.49,-0.10
1.201,0.63,0.41,-0.09
1.203,0.66,0.30,-0.07
1.205,0.67,0.17,-0.07
1.207,0.67,0.04,-0.09
1.209,0.69,-0.05,-0.10
1.212,0.73,-0.11,-0.14
1.214,0.76,-0.18,-0.17
1.217,0.81,-0.24,-0.23
1.220,0.89,-0.28,-0.29
1.221,1.02,-0.25,-0.36
1.223,1.16,-0.21,-0.44
1.226,1.25,-0.21,-0.49
1.228,1.28,-0.24,-0.52
1.231,1.34,-0.24,-0.58
1.233,1.51,-0.13,-0.74
1.235,1.65,-0.07,-0.89
1.237,1.67,-0.16,-0.91
1.241,1.60,-0.32,-0.87
1.242,1.51,-0.44,-0.82
1.244,1.32,-0.63,-0.72
1.247,1.02,-0.81,-0.59
1.249,0.74,-0.85,-0.44
1.251,0.52,-0.74,-0.29
1.254,0.36,-0.57,-0.16
1.256,0.26,-0.34,-0.08
1.258,0.21,-0.11,-0.05
1.261,0.17,0.04,-0.05
1.263,0.16,0.11,-0.06
1.265,0.15,0.12,-0.08
1.268,0.14,0.12,-0.09
1.270,0.15,0.11,-0.11
1.272,0.18,0.10,-0.17
1.275,0.22,0.04,-0.25
1.277,0.26,-0.05,-0.36
1.279,0.31,-0.15,-0.48
1.282,0.34,-0.23,-0.59
1.284,0.36,-0.27,-0.66
1.287,0.38,-0.30,-0.70
1.289,0.41,-0.33,-0.70
1.291,0.45,-0.36,-0.69
1.293,0.47,-0.40,-0.65
1.296,0.49,-0.44,-0.61
1.298,0.50,-0.47,-0.58
1.301,0.52,-0.50,-0.56
1.304,0.53,-0.50,-0.54
1.305,0.55,-0.51,-0.51
1.307,0.58,-0.53,-0.47
1.310,0.58,-0.54,-0.43
1.312,0.57,-0.56,-0.39
1.314,0.56,-0.56,-0.36
1.317,0.54,-0.56,-0.32
1.320,0.51,-0.54,-0.30
1.321,0.48,-0.51,-0.27
1.323,0.43,-0.45,-0.25
1.326,0.38,-0.38,-0.21
1.328,0.34,-0.32,-0.16
1.330,0.28,-0.32,-0.09
1.333,0.20,-0.30,-0.07
1.335,0.06,-0.31,-0.10
1.337,-0.11,-0.36,-0.12
1.341,-0.28,-0.39,-0.11
1.342,-0.42,-0.38,-0.12
1.344,-0.53,-0.35,-0.18
1.347,-0.64,-0.32,-0.26
1.349,-0.72,-0.25,-0.35
1.351,-0.80,-0.16,-0.45
1.354,-0.85,-0.03,-0.57
1.356,-0.89,0.06,-0.64
1.358,-0.92,0.12,-0.64
1.361,-0.95,0.18,-0.62
1.363,-0.97,0.27,-0.59
1.365,-0.98,0.38,-0.56
1.368,-0.98,0.51,-0.51
1.370,-0.95,0.64,-0.46
1.372,-0.89,0.67,-0.38
1.375,-0.85,0.65,-0.29
1.377,-0.81,0.57,-0.22
1.379,-0.78,0.48,-0.17
1.382,-0.75,0.39,-0.13
1.384,-0.72,0.32,-0.11
1.387,-0.67,0.25,-0.12
1.389,-0.61,0.19,-0.11
1.391,-0.54,0.13,-0.08
1.393,-0.46,0.06,-0.07
1.396,-0.37,0.03,-0.06
1.398,-0.28,0.04,-0.09
1.401,-0.17,0.05,-0.11
1.404,-0.08,0.04,-0.12
1.405,0.01,0.02,-0.12
1.407,0.09,0.00,-0.12
1.410,0.16,-0.02,-0.10
1.412,0.23,-0.04,-0.08
1.414,0.27,-0.06,-0.05
1.417,0.31,-0.06,-0.01
1.419,0.31,-0.06,0.03
1.421,0.30,-0.07,0.07
1.424,0.26,-0.04,0.11
1.426,0.19,-0.03,0.15
1.428,0.13,-0.00,0.17
1.431,0.06,0.04,0.18
1.433,-0.01,0.07,0.16
1.435,-0.08,0.09,0.15
1.438,-0.13,0.11,0.12
1.441,-0.17,0.11,0.09
1.442,-0.21,0.09,0.07
1.445,-0.22,0.07,0.04
1.447,-0.24,0.04,0.01
1.449,-0.25,0.03,-0.01
1.452,-0.26,0.01,-0.03
1.454,-0.26,0.00,-0.05
1.456,-0.26,-0.00,-0.06
1.459,-0.25,-0.03,-0.06
1.461,-0.23,-0.03,-0.06
1.463,-0.20,0.02,-0.03
1.465,-0.15,-0.03,0.02
1.468,-0.16,-0.14,0.03
1.471,-0.15,-0.14,0.06
1.472,-0.22,-0.24,0.13
1.475,-0.25,-0.25,0.22
1.477,-0.23,-0.21,0.29
1.479,-0.21,-0.21,0.33
1.482,-0.19,-0.21,0.35
1.484,-0.17,-0.21,0.35
1.486,-0.16,-0.25,0.35
1.489,-0.16,-0.28,0.33
1.491,-0.16,-0.33,0.32
1.493,-0.15,-0.37,0.29
1.496,-0.17,-0.40,0.27
1.498,-0.19,-0.41,0.24
1.501,-0.22,-0.41,0.21
1.503,-0.24,-0.40,0.19
1.505,-0.29,-0.35,0.20
1.507,-0.35,-0.27,0.22
1.510,-0.41,-0.25,0.24
1.512,-0.46,-0.24,0.24
1.514,-0.50,-0.24,0.24
1.517,-0.52,-0.25,0.23
1.519,-0.54,-0.26,0.21
1.522,-0.55,-0.28,0.20
1.524,-0.55,-0.32,0.19
1.526,-0.56,-0.36,0.18
1.528,-0.56,-0.41,0.18
1.531,-0.56,-0.47,0.17
1.533,-0.57,-0.52,0.16
1.535,-0.58,-0.56,0.16
1.538,-0.60,-0.61,0.15
1.541,-0.63,-0.65,0.14
1.542,-0.66,-0.69,0.13
1.545,-0.70,-0.73,0.13
1.547,-0.75,-0.74,0.13
1.549,-0.81,-0.75,0.13
1.552,-0.88,-0.72,0.12
1.554,-0.94,-0.68,0.12
1.556,-1.01,-0.64,0.12
1.559,-1.11,-0.61,0.11
1.561,-1.18,-0.61,0.12
1.563,-1.24,-0.61,0.14
1.566,-1.30,-0.63,0.18
1.568,-1.34,-0.66,0.23
1.571,-1.36,-0.71,0.27
1.573,-1.37,-0.76,0.31
1.575,-1.39,-0.83,0.37
1.577,-1.40,-0.88,0.44
1.579,-1.39,-0.89,0.52
1.582,-1.36,-0.90,0.61
1.584,-1.33,-0.90,0.68
1.587,-1.29,-0.89,0.74
1.589,-1.27,-0.89,0.80
1.591,-1.25,-0.88,0.85
1.593,-1.22,-0.88,0.90
1.596,-1.20,-0.89,0.94
1.598,-1.17,-0.90,0.97
1.601,-1.15,-0.93,0.99
1.603,-1.13,-0.95,1.02
1.605,-1.10,-0.97,1.03
1.607,-1.00,-0.92,1.01
1.610,-0.88,-0.85,0.95
1.612,-0.85,-0.92,0.93
1.614,-0.88,-1.06,0.94
1.617,-0.89,-1.13,0.96
1.619,-0.87,-1.14,0.97
1.622,-0.81,-1.08,0.98
1.624,-0.76,-1.02,0.97
1.626,-0.71,-1.00,0.97
1.628,-0.66,-0.99,0.95
1.631,-0.62,-0.98,0.92
1.633,-0.57,-0.99,0.90
1.635,-0.52,-1.05,0.88
1.638,-0.49,-1.15,0.88
1.641,-0.47,-1.20,0.89
1.642,-0.44,-1.22,0.91
1.645,-0.43,-1.22,0.95
1.647,-0.40,-1.17,1.01
1.650,-0.39,-1.10,1.06
1.652,-0.40,-1.01,1.13
1.654,-0.42,-0.91,1.21
1.656,-0.44,-0.79,1.29
1.659,-0.48,-0.66,1.39
1.661,-0.52,-0.54,1.49
1.663,-0.58,-0.45,1.58
1.666,-0.62,-0.35,1.66
1.668,-0.67,-0.27,1.71
1.671,-0.70,-0.20,1.73
1.673,-0.71,-0.15,1.75
1.675,-0.71,-0.13,1.77
1.677,-0.68,-0.13,1.78
1.680,-0.62,-0.16,1.79
1.682,-0.55,-0.20,1.79
1.684,-0.47,-0.26,1.79
1.687,-0.38,-0.34,1.79
1.689,-0.28,-0.45,1.80
1.691,-0.19,-0.57,1.82
1.694,-0.09,-0.68,1.83
1.696,0.02,-0.77,1.83
1.698,0.15,-0.87,1.81
1.701,0.28,-0.93,1.79
1.703,0.35,-0.90,1.75
1.705,0.39,-0.83,1.74
1.707,0.43,-0.80,1.79
1.710,0.46,-0.77,1.87
1.712,0.46,-0.70,1.94
1.714,0.44,-0.63,1.99
1.717,0.40,-0.56,2.01
1.719,0.35,-0.45,2.03
1.721,0.32,-0.38,2.01
1.724,0.30,-0.35,1.92
1.726,0.25,-0.32,1.79
1.728,0.21,-0.30,1.67
1.731,0.18,-0.18,1.58
1.733,0.14,0.01,1.51
1.735,0.14,0.20,1.42
1.738,0.14,0.40,1.35
1.741,0.17,0.66,1.26
1.742,0.19,0.93,1.19
1.745,0.22,1.21,1.14
1.747,0.24,1.51,1.10
1.749,0.26,1.74,1.10
1.752,0.25,1.91,1.13
1.754,0.22,1.97,1.22
1.756,0.14,1.97,1.37
1.759,0.06,1.90,1.56
1.761,-0.06,1.77,1.78
1.763,-0.21,1.69,1.96
1.766,-0.37,1.68,2.08
1.768,-0.55,1.67,2.16
1.770,-0.77,1.68,2.23
1.773,-1.00,1.66,2.29
1.775,-1.22,1.63,2.34
1.777,-1.41,1.60,2.39
1.780,-1.57,1.59,2.42
1.782,-1.71,1.58,2.42
1.785,-1.82,1.55,2.38
1.787,-1.88,1.52,2.32
1.789,-1.90,1.40,2.25
1.791,-1.89,1.23,2.16
1.794,-1.88,1.01,2.05
1.796,-1.83,0.80,1.90
1.798,-1.67,0.55,1.70
1.802,-1.47,0.29,1.50
1.803,-1.20,-0.05,1.29
1.805,-0.92,-0.40,1.08
1.807,-0.65,-0.77,0.91
1.818,-0.40,-1.03,0.77
1.818,-0.19,-1.23,0.66
1.818,-0.06,-1.54,0.56
1.818,-0.03,-1.84,0.45
1.820,-0.06,-2.01,0.35
